X,Y,Z,Angle,Distance,Retro,UTC
741015.99779987,3740618.42840576,261.62649536,-0.09599,6.34,0.215,56019.125
741015.98519993,3740618.37341309,261.62631226,-0.10472,6.35,0.215,56019.125
741015.98209953,3740618.31817627,261.63040161,-0.11345,6.35,0.215,56019.125
741015.97949982,3740618.26300049,261.63470459,-0.12217,6.35,0.221,56019.125
741015.96819973,3740618.20770264,261.63519287,-0.1309,6.36,0.221,56019.125
741015.95730019,3740618.15228271,261.63580322,-0.13963,6.37,0.221,56019.125
741015.95590019,3740618.09692383,261.64068604,-0.14835,6.37,0.221,56019.125
741015.95510006,3740618.04162598,261.64590454,-0.15708,6.37,0.221,56019.125
741016.00259972,3740618.97418213,261.61151123,-0.00873,6.31,0.497,56019.136719
741015.97659969,3740618.92169189,261.60510254,-0.01745,6.33,0.354,56019.140625
741015.99629974,3740618.86407471,261.61959839,-0.02618,6.3,0.221,56019.140625
741015.98929977,3740618.80957031,261.62188721,-0.03491,6.3,0.221,56019.140625
741015.97369957,3740618.75567627,261.62030029,-0.04363,6.31,0.221,56019.140625
741015.95849991,3740618.70172119,261.61889648,-0.05236,6.32,0.221,56019.140625
741015.9527998,3740618.64691162,261.62179565,-0.06109,6.32,0.221,56019.140625
741015.94750023,3740618.59197998,261.62490845,-0.06981,6.32,0.221,56019.140625
741015.92450047,3740618.5380249,261.61999512,-0.07854,6.34,0.221,56019.140625
741015.92010021,3740618.48297119,261.62350464,-0.08727,6.34,0.221,56019.140625
741015.91609955,3740618.42791748,261.62719727,-0.09599,6.34,0.215,56019.140625
741015.9034996,3740618.3729248,261.62701416,-0.10472,6.35,0.215,56019.140625
741015.90040016,3740618.31768799,261.63110352,-0.11345,6.35,0.221,56019.140625
741015.88869953,3740618.26251221,261.63128662,-0.12217,6.36,0.215,56019.140625
741015.8682003,3740618.20709229,261.62768555,-0.1309,6.38,0.221,56019.140625
741015.86639977,3740618.15161133,261.63238525,-0.13963,6.38,0.221,56019.140625
