X,Y,Z,Angle,Distance,Retro,UTC
741004.85540009,3740621.60797119,261.87341309,0.45379,6.29,0.221,56021.054688
741004.77710009,3740621.67010498,261.87231445,0.46251,6.32,0.227,56021.070313
741004.76959991,3740621.60778809,261.87451172,0.45379,6.29,0.221,56021.070313
741004.69049978,3740621.66992188,261.87380981,0.46251,6.32,0.227,56021.082031
741004.69040012,3740621.60211182,261.87969971,0.45379,6.28,0.227,56021.082031
741004.60459995,3740621.66967773,261.87530518,0.46251,6.32,0.221,56021.09375
741004.59709978,3740621.60748291,261.87741089,0.45379,6.29,0.227,56021.09375
741005.02269983,3740624.03552246,261.89581299,0.75922,7.6,0.265,56021.105469
741004.59560013,3740622.10351563,261.87350464,0.5236,6.52,0.227,56021.109375
741004.58360004,3740622.0402832,261.87380981,0.51487,6.49,0.227,56021.109375
741004.54440022,3740621.8572998,261.87231445,0.48869,6.41,0.238,56021.109375
741004.54220009,3740621.78887939,261.87741089,0.47997,6.37,0.227,56021.109375
741004.52619982,3740621.7321167,261.87521362,0.47124,6.35,0.232,56021.109375
741004.52540016,3740621.66412354,261.88088989,0.46251,6.31,0.227,56021.109375
741004.51800013,3740621.60192871,261.88308716,0.45379,6.28,0.227,56021.109375
741004.94229984,3740624.02758789,261.90060425,0.75922,7.59,0.26,56021.121094
741004.50969982,3740622.10339355,261.87521362,0.5236,6.52,0.232,56021.121094
741005.01350021,3740624.02362061,261.97329712,0.77667,7.48,0.249,56021.132813
741004.9380002,3740624.0222168,261.93939209,0.76794,7.53,0.249,56021.132813
741004.85109997,3740624.03527832,261.89910889,0.75922,7.6,0.293,56021.132813
741004.79139996,3740624.00872803,261.87451172,0.75049,7.62,0.238,56021.132813
741004.92710018,3740624.02349854,261.97491455,0.77667,7.48,0.249,56021.144531
741004.84609985,3740624.02990723,261.93780518,0.76794,7.54,0.276,56021.144531
741004.7592001,3740624.04290771,261.89761353,0.75922,7.61,0.287,56021.144531
741004.83039999,3740624.03900146,261.97039795,0.77667,7.5,0.26,56021.160156
741004.77099991,3740624.01409912,261.94589233,0.76794,7.52,0.232,56021.160156
741004.67320013,3740624.04278564,261.89941406,0.75922,7.61,0.282,56021.160156
741004.69059992,3740624.00628662,261.95080566,0.76794,7.51,0.232,56021.171875
741004.59280014,3740624.03497314,261.90438843,0.75922,7.6,0.304,56021.171875
741004.52759981,3740624.01611328,261.87670898,0.75049,7.63,0.276,56021.171875
741004.58780003,3740624.02960205,261.94311523,0.76794,7.54,0.287,56021.1875
741004.52829981,3740624.00390625,261.91860962,0.75922,7.56,0.238,56021.1875
741004.5776,3740624.03088379,261.97860718,0.77667,7.49,0.276,56021.199219
741004.52370024,3740623.99829102,261.95721436,0.76794,7.5,0.238,56021.199219
