X,Y,Z,Angle,Distance,Retro,UTC
740986.44369984,3740613.1428833,261.57559204,-0.75049,8.29,0.204,56023.691406
740986.43529987,3740613.04907227,261.5776062,-0.75922,8.35,0.204,56023.691406
740986.40569973,3740612.93688965,261.57049561,-0.76794,8.44,0.204,56023.691406
740986.39939976,3740612.84191895,261.5736084,-0.77667,8.5,0.199,56023.691406
740986.37230015,3740612.72827148,261.56781006,-0.7854,8.59,0.204,56023.691406
740986.46210003,3740613.715271,261.58560181,-0.69813,7.89,0.204,56023.707031
740986.44760036,3740613.62487793,261.58450317,-0.70686,7.95,0.204,56023.707031
740986.44180012,3740613.53942871,261.58718872,-0.71558,8.0,0.204,56023.707031
740986.42160034,3740613.44232178,261.58370972,-0.72431,8.07,0.199,56023.707031
740986.41009998,3740613.35028076,261.58401489,-0.73304,8.13,0.204,56023.707031
740986.3920002,3740613.25201416,261.581604,-0.74176,8.2,0.199,56023.707031
740986.36750031,3740613.1472168,261.57650757,-0.75049,8.28,0.199,56023.707031
740986.34420013,3740613.04168701,261.57199097,-0.75922,8.36,0.199,56023.707031
740986.33689976,3740612.9473877,261.57458496,-0.76794,8.42,0.199,56023.707031
740986.31579971,3740612.84051514,261.57128906,-0.77667,8.5,0.204,56023.707031
740986.2887001,3740612.72680664,261.56549072,-0.7854,8.59,0.204,56023.707031
740986.46039963,3740614.22937012,261.58990479,-0.64577,7.56,0.215,56023.71875
740986.44839954,3740614.1472168,261.58950806,-0.6545,7.61,0.21,56023.71875
740986.43719959,3740614.0645752,261.58938599,-0.66323,7.66,0.21,56023.71875
740986.43480015,3740613.98669434,261.59329224,-0.67195,7.7,0.204,56023.71875
740986.40970039,3740613.89282227,261.58718872,-0.68068,7.77,0.21,56023.71875
740986.39340019,3740613.80352783,261.58511353,-0.68941,7.83,0.21,56023.71875
740986.37800026,3740613.71362305,261.58349609,-0.69813,7.89,0.21,56023.71875
740986.37119961,3740613.62860107,261.58569336,-0.70686,7.94,0.204,56023.71875
740986.37300014,3740613.54858398,261.59170532,-0.71558,7.98,0.204,56023.71875
740986.34519958,3740613.44622803,261.5848999,-0.72431,8.06,0.204,56023.71875
740986.32600021,3740613.34851074,261.58190918,-0.73304,8.13,0.204,56023.71875
740986.30799961,3740613.25018311,261.57949829,-0.74176,8.2,0.204,56023.71875
740986.29100037,3740613.15130615,261.57769775,-0.75049,8.27,0.199,56023.71875
740986.26760006,3740613.04577637,261.57321167,-0.75922,8.35,0.199,56023.71875
740986.25290012,3740612.94561768,261.57250977,-0.76794,8.42,0.204,56023.71875
740986.23190022,3740612.83868408,261.56921387,-0.77667,8.5,0.204,56023.71875
740986.21210003,3740612.7310791,261.5664978,-0.7854,8.58,0.204,56023.71875
740986.44960022,3740614.70117188,261.59228516,-0.59341,7.28,0.227,56023.730469
740986.44909954,3740614.63092041,261.59658813,-0.60214,7.31,0.221,56023.730469
740986.44120026,3740614.55578613,261.59768677,-0.61087,7.35,0.215,56023.730469
740986.42590046,3740614.47570801,261.5954895,-0.61959,7.4,0.221,56023.730469
740986.41139984,3740614.39508057,261.59368896,-0.62832,7.45,0.221,56023.730469
740986.39780045,3740614.31402588,261.59240723,-0.63705,7.5,0.215,56023.730469
740986.38500023,3740614.2322998,261.5914917,-0.64577,7.55,0.215,56023.730469
740986.37300014,3740614.15032959,261.59100342,-0.6545,7.6,0.21,56023.730469
740986.35389996,3740614.06262207,261.5874939,-0.66323,7.66,0.21,56023.730469
740986.34360027,3740613.97961426,261.58789063,-0.67195,7.71,0.21,56023.730469
740986.3263998,3740613.89080811,261.58529663,-0.68068,7.77,0.21,56023.730469
740986.3100996,3740613.80151367,261.58319092,-0.68941,7.83,0.21,56023.734375
740986.29469967,3740613.71160889,261.58151245,-0.69813,7.89,0.21,56023.734375
740986.28800011,3740613.62658691,261.58380127,-0.70686,7.94,0.21,56023.734375
740986.27439976,3740613.5355835,261.58309937,-0.71558,8.0,0.21,56023.734375
740986.26189995,3740613.44421387,261.58300781,-0.72431,8.06,0.204,56023.734375
740986.24279976,3740613.34649658,261.57998657,-0.73304,8.13,0.204,56023.734375
740986.21720028,3740613.24249268,261.5743103,-0.74176,8.21,0.204,56023.734375
740986.20769978,3740613.14929199,261.57580566,-0.75049,8.27,0.199,56023.734375
740986.1843996,3740613.04382324,261.57128906,-0.75922,8.35,0.204,56023.734375
740986.16969967,3740612.94360352,261.57058716,-0.76794,8.42,0.204,56023.734375
740986.15600014,3740612.8427124,261.57049561,-0.77667,8.49,0.199,56023.734375
740986.12889957,3740612.72912598,261.56460571,-0.7854,8.58,0.204,56023.734375
740986.46520042,3740615.41418457,261.5914917,-0.50615,6.91,0.227,56023.746094
740986.44139957,3740615.33959961,261.58480835,-0.51487,6.96,0.282,56023.746094
740986.46020031,3740615.2835083,261.59768677,-0.5236,6.96,0.436,56023.746094
740986.45440006,3740615.21582031,261.5993042,-0.53233,6.99,0.442,56023.746094
740986.43249989,3740615.14001465,261.59359741,-0.54105,7.04,0.232,56023.746094
740986.43630028,3740615.07568359,261.59970093,-0.54978,7.06,0.42,56023.746094
740986.42409992,3740615.00299072,261.59851074,-0.55851,7.1,0.409,56023.746094
740986.40439987,3740614.92572021,261.59399414,-0.56723,7.15,0.227,56023.746094
740986.39360046,3740614.85217285,261.59350586,-0.57596,7.19,0.227,56023.746094
740986.3835001,3740614.77819824,261.59350586,-0.58469,7.23,0.227,56023.746094
740986.36600018,3740614.69952393,261.59008789,-0.59341,7.28,0.232,56023.746094
740986.36550045,3740614.62921143,261.59451294,-0.60214,7.31,0.221,56023.746094
740986.34140015,3740614.54492188,261.58828735,-0.61087,7.37,0.221,56023.746094
740986.33430004,3740614.46929932,261.58969116,-0.61959,7.41,0.221,56023.746094
740986.32789993,3740614.39337158,261.59161377,-0.62832,7.45,0.215,56023.746094
740986.32219982,3740614.31707764,261.59381104,-0.63705,7.49,0.215,56023.746094
740986.29349995,3740614.22570801,261.58578491,-0.64577,7.56,0.21,56023.746094
740986.27359962,3740614.13861084,261.58178711,-0.6545,7.62,0.21,56023.746094
740986.25459957,3740614.05078125,261.57830811,-0.66323,7.68,0.21,56023.746094
740986.26010036,3740613.97790527,261.58569336,-0.67195,7.71,0.215,56023.746094
740986.24289989,3740613.88909912,261.58309937,-0.68068,7.77,0.204,56023.746094
740986.23429966,3740613.80511475,261.58441162,-0.68941,7.82,0.21,56023.746094
740986.21889973,3740613.715271,261.58279419,-0.69813,7.88,0.204,56023.746094
740986.19680023,3740613.61938477,261.57830811,-0.70686,7.95,0.21,56023.746094
740986.19089985,3740613.53387451,261.58099365,-0.71558,8.0,0.21,56023.746094
740986.17080021,3740613.43688965,261.57751465,-0.72431,8.07,0.204,56023.746094
740986.15929985,3740613.3447876,261.57791138,-0.73304,8.13,0.204,56023.746094
740986.13370037,3740613.24078369,261.57220459,-0.74176,8.21,0.199,56023.746094
740986.11680031,3740613.14178467,261.57040405,-0.75049,8.28,0.204,56023.746094
740986.08609962,3740613.03039551,261.56271362,-0.75922,8.37,0.204,56023.746094
740986.0788002,3740612.93591309,261.56530762,-0.76794,8.43,0.204,56023.746094
740986.06519985,3740612.83502197,261.56518555,-0.77667,8.5,0.204,56023.746094
740986.04539967,3740612.72741699,261.5625,-0.7854,8.58,0.204,56023.746094
740986.46220016,3740616.11950684,261.58221436,-0.41015,6.62,0.221,56023.757813
